файл;строка;ключ;было;стало;тип
01_ef_modifier_type;1276;goods_input_dollar_sierra_leonean_dollar_c_add;Множитель выпуска dollar_sierra_leonean_dollar;Потребление доллара Сьерра-Леоне;A/сырой ключ вместо названия
01_ef_modifier_type;1277;goods_input_dollar_sierra_leonean_dollar_c_mult;Потребление dollar_sierra_leonean_dollar;Множитель потребления доллара Сьерра-Леоне;A/сырой ключ вместо названия
01_ef_modifier_type;1278;goods_output_dollar_sierra_leonean_dollar_c_mult;Выпуск dollar_sierra_leonean_dollar;Множитель производства доллара Сьерра-Леоне;A/сырой ключ вместо названия
01_ef_modifier_type;1279;goods_output_dollar_united_states_dollar_c_add;Множитель потребления dollar_united_states_dollar;Производство доллара США;A/сырой ключ вместо названия
01_ef_modifier_type;1280;goods_input_dollar_united_states_dollar_c_add;Множитель выпуска dollar_united_states_dollar;Потребление доллара США;A/сырой ключ вместо названия
01_ef_modifier_type;1281;goods_input_dollar_united_states_dollar_c_mult;Потребление dollar_united_states_dollar;Множитель потребления доллара США;A/сырой ключ вместо названия
01_ef_modifier_type;1282;goods_output_dollar_united_states_dollar_c_mult;Выпуск dollar_united_states_dollar;Множитель производства доллара США;A/сырой ключ вместо названия
01_ef_modifier_type;1283;goods_output_eco_ariary_c_add;Множитель потребления eco_ariary;Производство ариари;A/сырой ключ вместо названия
01_ef_modifier_type;1284;goods_input_eco_ariary_c_add;Множитель выпуска eco_ariary;Потребление ариари;A/сырой ключ вместо названия
01_ef_modifier_type;1285;goods_input_eco_ariary_c_mult;Потребление eco_ariary;Множитель потребления ариари;A/сырой ключ вместо названия
01_ef_modifier_type;1286;goods_output_eco_ariary_c_mult;Выпуск eco_ariary;Множитель производства ариари;A/сырой ключ вместо названия
01_ef_modifier_type;1287;goods_output_eco_central_african_eco_c_add;Множитель потребления eco_central_african_eco;Производство центральноафриканского эко;A/сырой ключ вместо названия
01_ef_modifier_type;1288;goods_input_eco_central_african_eco_c_add;Множитель выпуска eco_central_african_eco;Потребление центральноафриканского эко;A/сырой ключ вместо названия
01_ef_modifier_type;1289;goods_input_eco_central_african_eco_c_mult;Потребление eco_central_african_eco;Множитель потребления центральноафриканского эко;A/сырой ключ вместо названия
01_ef_modifier_type;1290;goods_output_eco_central_african_eco_c_mult;Выпуск eco_central_african_eco;Множитель производства центральноафриканского эко;A/сырой ключ вместо названия
01_ef_modifier_type;1291;goods_output_eco_east_african_eco_c_add;Множитель потребления eco_east_african_eco;Производство восточноафриканского эко;A/сырой ключ вместо названия
01_ef_modifier_type;1292;goods_input_eco_east_african_eco_c_add;Множитель выпуска eco_east_african_eco;Потребление восточноафриканского эко;A/сырой ключ вместо названия
01_ef_modifier_type;1293;goods_input_eco_east_african_eco_c_mult;Потребление eco_east_african_eco;Множитель потребления восточноафриканского эко;A/сырой ключ вместо названия
01_ef_modifier_type;1294;goods_output_eco_east_african_eco_c_mult;Выпуск eco_east_african_eco;Множитель производства восточноафриканского эко;A/сырой ключ вместо названия
01_ef_modifier_type;1295;goods_output_eco_ethiopian_birr_c_add;Множитель потребления eco_ethiopian_birr;Производство эфиопского быра;A/сырой ключ вместо названия
01_ef_modifier_type;1296;goods_input_eco_ethiopian_birr_c_add;Множитель выпуска eco_ethiopian_birr;Потребление эфиопского быра;A/сырой ключ вместо названия
01_ef_modifier_type;1297;goods_input_eco_ethiopian_birr_c_mult;Потребление eco_ethiopian_birr;Множитель потребления эфиопского быра;A/сырой ключ вместо названия
01_ef_modifier_type;1298;goods_output_eco_ethiopian_birr_c_mult;Выпуск eco_ethiopian_birr;Множитель производства эфиопского быра;A/сырой ключ вместо названия
01_ef_modifier_type;1299;goods_output_eco_ghanaian_pound_c_add;Множитель потребления eco_ghanaian_pound;Производство ганского фунта;A/сырой ключ вместо названия
01_ef_modifier_type;1300;goods_input_eco_ghanaian_pound_c_add;Множитель выпуска eco_ghanaian_pound;Потребление ганского фунта;A/сырой ключ вместо названия
01_ef_modifier_type;1301;goods_input_eco_ghanaian_pound_c_mult;Потребление eco_ghanaian_pound;Множитель потребления ганского фунта;A/сырой ключ вместо названия
01_ef_modifier_type;1302;goods_output_eco_ghanaian_pound_c_mult;Выпуск eco_ghanaian_pound;Множитель производства ганского фунта;A/сырой ключ вместо названия
01_ef_modifier_type;1303;goods_output_eco_nigerian_naira_c_add;Множитель потребления eco_nigerian_naira;Производство нигерийской найры;A/сырой ключ вместо названия
01_ef_modifier_type;1304;goods_input_eco_nigerian_naira_c_add;Множитель выпуска eco_nigerian_naira;Потребление нигерийской найры;A/сырой ключ вместо названия
01_ef_modifier_type;1305;goods_input_eco_nigerian_naira_c_mult;Потребление eco_nigerian_naira;Множитель потребления нигерийской найры;A/сырой ключ вместо названия
01_ef_modifier_type;1306;goods_output_eco_nigerian_naira_c_mult;Выпуск eco_nigerian_naira;Множитель производства нигерийской найры;A/сырой ключ вместо названия
01_ef_modifier_type;1307;goods_output_eco_south_african_rand_c_add;Множитель потребления eco_south_african_rand;Производство южноафриканского ранда;A/сырой ключ вместо названия
01_ef_modifier_type;1308;goods_input_eco_south_african_rand_c_add;Множитель выпуска eco_south_african_rand;Потребление южноафриканского ранда;A/сырой ключ вместо названия
01_ef_modifier_type;1309;goods_input_eco_south_african_rand_c_mult;Потребление eco_south_african_rand;Множитель потребления южноафриканского ранда;A/сырой ключ вместо названия
01_ef_modifier_type;1310;goods_output_eco_south_african_rand_c_mult;Выпуск eco_south_african_rand;Множитель производства южноафриканского ранда;A/сырой ключ вместо названия
01_ef_modifier_type;1311;goods_output_eco_tuareg_ouguiya_c_add;Множитель потребления eco_tuareg_ouguiya;Производство туарегской угии;A/сырой ключ вместо названия
01_ef_modifier_type;1312;goods_input_eco_tuareg_ouguiya_c_add;Множитель выпуска eco_tuareg_ouguiya;Потребление туарегской угии;A/сырой ключ вместо названия
01_ef_modifier_type;1313;goods_input_eco_tuareg_ouguiya_c_mult;Потребление eco_tuareg_ouguiya;Множитель потребления туарегской угии;A/сырой ключ вместо названия
01_ef_modifier_type;1314;goods_output_eco_tuareg_ouguiya_c_mult;Выпуск eco_tuareg_ouguiya;Множитель производства туарегской угии;A/сырой ключ вместо названия
01_ef_modifier_type;1315;goods_output_eco_west_african_eco_c_add;Множитель потребления eco_west_african_eco;Производство западноафриканского эко;A/сырой ключ вместо названия
01_ef_modifier_type;1316;goods_input_eco_west_african_eco_c_add;Множитель выпуска eco_west_african_eco;Потребление западноафриканского эко;A/сырой ключ вместо названия
01_ef_modifier_type;1317;goods_input_eco_west_african_eco_c_mult;Потребление eco_west_african_eco;Множитель потребления западноафриканского эко;A/сырой ключ вместо названия
01_ef_modifier_type;1318;goods_output_eco_west_african_eco_c_mult;Выпуск eco_west_african_eco;Множитель производства западноафриканского эко;A/сырой ключ вместо названия
01_ef_modifier_type;1319;goods_output_franc_belgian_franc_c_add;Множитель потребления franc_belgian_franc;Производство бельгийского франка;A/сырой ключ вместо названия
01_ef_modifier_type;1320;goods_input_franc_belgian_franc_c_add;Множитель выпуска franc_belgian_franc;Потребление бельгийского франка;A/сырой ключ вместо названия
01_ef_modifier_type;1321;goods_input_franc_belgian_franc_c_mult;Потребление franc_belgian_franc;Множитель потребления бельгийского франка;A/сырой ключ вместо названия
01_ef_modifier_type;1322;goods_output_franc_belgian_franc_c_mult;Выпуск franc_belgian_franc;Множитель производства бельгийского франка;A/сырой ключ вместо названия
01_ef_modifier_type;1323;goods_output_franc_french_franc_c_add;Множитель потребления franc_french_franc;Производство французского франка;A/сырой ключ вместо названия
01_ef_modifier_type;1324;goods_input_franc_french_franc_c_add;Множитель выпуска franc_french_franc;Потребление французского франка;A/сырой ключ вместо названия
01_ef_modifier_type;1325;goods_input_franc_french_franc_c_mult;Потребление franc_french_franc;Множитель потребления французского франка;A/сырой ключ вместо названия
01_ef_modifier_type;1326;goods_output_franc_french_franc_c_mult;Выпуск franc_french_franc;Множитель производства французского франка;A/сырой ключ вместо названия
01_ef_modifier_type;1327;goods_output_franc_luxembourgish_franc_c_add;Множитель потребления franc_luxembourgish_franc;Производство люксембургского франка;A/сырой ключ вместо названия
01_ef_modifier_type;1328;goods_input_franc_luxembourgish_franc_c_add;Множитель выпуска franc_luxembourgish_franc;Потребление люксембургского франка;A/сырой ключ вместо названия
01_ef_modifier_type;1329;goods_input_franc_luxembourgish_franc_c_mult;Потребление franc_luxembourgish_franc;Множитель потребления люксембургского франка;A/сырой ключ вместо названия
01_ef_modifier_type;1330;goods_output_franc_luxembourgish_franc_c_mult;Выпуск franc_luxembourgish_franc;Множитель производства люксембургского франка;A/сырой ключ вместо названия
01_ef_modifier_type;1331;goods_output_franc_swiss_franc_c_add;Множитель потребления franc_swiss_franc;Производство швейцарского франка;A/сырой ключ вместо названия
01_ef_modifier_type;1332;goods_input_franc_swiss_franc_c_add;Множитель выпуска franc_swiss_franc;Потребление швейцарского франка;A/сырой ключ вместо названия
01_ef_modifier_type;1333;goods_input_franc_swiss_franc_c_mult;Потребление franc_swiss_franc;Множитель потребления швейцарского франка;A/сырой ключ вместо названия
01_ef_modifier_type;1334;goods_output_franc_swiss_franc_c_mult;Выпуск franc_swiss_franc;Множитель производства швейцарского франка;A/сырой ключ вместо названия
01_ef_modifier_type;1335;goods_output_gulden_c_add;Множитель потребления gulden;Производство гульдена;A/сырой ключ вместо названия
01_ef_modifier_type;1336;goods_input_gulden_c_add;Множитель выпуска gulden;Потребление гульдена;A/сырой ключ вместо названия
01_ef_modifier_type;1337;goods_input_gulden_c_mult;Потребление gulden;Множитель потребления гульдена;A/сырой ключ вместо названия
01_ef_modifier_type;1338;goods_output_gulden_c_mult;Выпуск gulden;Множитель производства гульдена;A/сырой ключ вместо названия
01_ef_modifier_type;1339;goods_output_gulden_bavarian_gulden_c_add;Множитель потребления gulden_bavarian_gulden;Производство баварского гульдена;A/сырой ключ вместо названия
01_ef_modifier_type;1340;goods_input_gulden_bavarian_gulden_c_add;Множитель выпуска gulden_bavarian_gulden;Потребление баварского гульдена;A/сырой ключ вместо названия
01_ef_modifier_type;1341;goods_input_gulden_bavarian_gulden_c_mult;Потребление gulden_bavarian_gulden;Множитель потребления баварского гульдена;A/сырой ключ вместо названия
01_ef_modifier_type;1342;goods_output_gulden_bavarian_gulden_c_mult;Выпуск gulden_bavarian_gulden;Множитель производства баварского гульдена;A/сырой ключ вместо названия
01_ef_modifier_type;1343;goods_output_gulden_florin_c_add;Множитель потребления gulden_florin;Производство флорина;A/сырой ключ вместо названия
01_ef_modifier_type;1344;goods_input_gulden_florin_c_add;Множитель выпуска gulden_florin;Потребление флорина;A/сырой ключ вместо названия
01_ef_modifier_type;1345;goods_input_gulden_florin_c_mult;Потребление gulden_florin;Множитель потребления флорина;A/сырой ключ вместо названия
01_ef_modifier_type;1346;goods_output_gulden_florin_c_mult;Выпуск gulden_florin;Множитель производства флорина;A/сырой ключ вместо названия
01_ef_modifier_type;1347;goods_output_gulden_hungarian_forint_c_add;Множитель потребления gulden_hungarian_forint;Производство венгерского форинта;A/сырой ключ вместо названия
01_ef_modifier_type;1348;goods_input_gulden_hungarian_forint_c_add;Множитель выпуска gulden_hungarian_forint;Потребление венгерского форинта;A/сырой ключ вместо названия
01_ef_modifier_type;1349;goods_input_gulden_hungarian_forint_c_mult;Потребление gulden_hungarian_forint;Множитель потребления венгерского форинта;A/сырой ключ вместо названия
01_ef_modifier_type;1350;goods_output_gulden_hungarian_forint_c_mult;Выпуск gulden_hungarian_forint;Множитель производства венгерского форинта;A/сырой ключ вместо названия
01_ef_modifier_type;1351;goods_output_gulden_indies_guilder_c_add;Множитель потребления gulden_indies_guilder;Производство ост-индского гульдена;A/сырой ключ вместо названия
01_ef_modifier_type;1352;goods_input_gulden_indies_guilder_c_add;Множитель выпуска gulden_indies_guilder;Потребление ост-индского гульдена;A/сырой ключ вместо названия
01_ef_modifier_type;1353;goods_input_gulden_indies_guilder_c_mult;Потребление gulden_indies_guilder;Множитель потребления ост-индского гульдена;A/сырой ключ вместо названия
01_ef_modifier_type;1354;goods_output_gulden_indies_guilder_c_mult;Выпуск gulden_indies_guilder;Множитель производства ост-индского гульдена;A/сырой ключ вместо названия
01_ef_modifier_type;1355;goods_output_gulden_south_german_gulden_c_add;Множитель потребления gulden_south_german_gulden;Производство южногерманского гульдена;A/сырой ключ вместо названия
01_ef_modifier_type;1356;goods_input_gulden_south_german_gulden_c_add;Множитель выпуска gulden_south_german_gulden;Потребление южногерманского гульдена;A/сырой ключ вместо названия
01_ef_modifier_type;1357;goods_input_gulden_south_german_gulden_c_mult;Потребление gulden_south_german_gulden;Множитель потребления южногерманского гульдена;A/сырой ключ вместо названия
01_ef_modifier_type;1358;goods_output_gulden_south_german_gulden_c_mult;Выпуск gulden_south_german_gulden;Множитель производства южногерманского гульдена;A/сырой ключ вместо названия
01_ef_modifier_type;1359;goods_output_krone_czech_koruna_c_add;Множитель потребления krone_czech_koruna;Производство чешской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1360;goods_input_krone_czech_koruna_c_add;Множитель выпуска krone_czech_koruna;Потребление чешской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1361;goods_input_krone_czech_koruna_c_mult;Потребление krone_czech_koruna;Множитель потребления чешской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1362;goods_output_krone_czech_koruna_c_mult;Выпуск krone_czech_koruna;Множитель производства чешской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1363;goods_output_krone_danish_krone_c_add;Множитель потребления krone_danish_krone;Производство датской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1364;goods_input_krone_danish_krone_c_add;Множитель выпуска krone_danish_krone;Потребление датской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1365;goods_input_krone_danish_krone_c_mult;Потребление krone_danish_krone;Множитель потребления датской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1366;goods_output_krone_danish_krone_c_mult;Выпуск krone_danish_krone;Множитель производства датской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1367;goods_output_krone_estonian_kroon_c_add;Множитель потребления krone_estonian_kroon;Производство эстонской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1368;goods_input_krone_estonian_kroon_c_add;Множитель выпуска krone_estonian_kroon;Потребление эстонской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1369;goods_input_krone_estonian_kroon_c_mult;Потребление krone_estonian_kroon;Множитель потребления эстонской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1370;goods_output_krone_estonian_kroon_c_mult;Выпуск krone_estonian_kroon;Множитель производства эстонской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1371;goods_output_krone_icelandic_krona_c_add;Множитель потребления krone_icelandic_krona;Производство исландской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1372;goods_input_krone_icelandic_krona_c_add;Множитель выпуска krone_icelandic_krona;Потребление исландской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1373;goods_input_krone_icelandic_krona_c_mult;Потребление krone_icelandic_krona;Множитель потребления исландской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1374;goods_output_krone_icelandic_krona_c_mult;Выпуск krone_icelandic_krona;Множитель производства исландской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1375;goods_output_krone_norwegian_krone_c_add;Множитель потребления krone_norwegian_krone;Производство норвежской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1376;goods_input_krone_norwegian_krone_c_add;Множитель выпуска krone_norwegian_krone;Потребление норвежской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1377;goods_input_krone_norwegian_krone_c_mult;Потребление krone_norwegian_krone;Множитель потребления норвежской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1378;goods_output_krone_norwegian_krone_c_mult;Выпуск krone_norwegian_krone;Множитель производства норвежской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1379;goods_output_krone_slovak_koruna_c_add;Множитель потребления krone_slovak_koruna;Производство словацкой кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1380;goods_input_krone_slovak_koruna_c_add;Множитель выпуска krone_slovak_koruna;Потребление словацкой кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1381;goods_input_krone_slovak_koruna_c_mult;Потребление krone_slovak_koruna;Множитель потребления словацкой кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1382;goods_output_krone_slovak_koruna_c_mult;Выпуск krone_slovak_koruna;Множитель производства словацкой кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1383;goods_output_krone_swedish_krona_c_add;Множитель потребления krone_swedish_krona;Производство шведской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1384;goods_input_krone_swedish_krona_c_add;Множитель выпуска krone_swedish_krona;Потребление шведской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1385;goods_input_krone_swedish_krona_c_mult;Потребление krone_swedish_krona;Множитель потребления шведской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1386;goods_output_krone_swedish_krona_c_mult;Выпуск krone_swedish_krona;Множитель производства шведской кроны;A/сырой ключ вместо названия
01_ef_modifier_type;1387;goods_output_leon_leu_c_add;Множитель потребления leon_leu;Производство лея;A/сырой ключ вместо названия
01_ef_modifier_type;1388;goods_input_leon_leu_c_add;Множитель выпуска leon_leu;Потребление лея;A/сырой ключ вместо названия
01_ef_modifier_type;1389;goods_input_leon_leu_c_mult;Потребление leon_leu;Множитель потребления лея;A/сырой ключ вместо названия
01_ef_modifier_type;1390;goods_output_leon_leu_c_mult;Выпуск leon_leu;Множитель производства лея;A/сырой ключ вместо названия
01_ef_modifier_type;1391;goods_output_leon_lev_c_add;Множитель потребления leon_lev;Производство лева;A/сырой ключ вместо названия
01_ef_modifier_type;1392;goods_input_leon_lev_c_add;Множитель выпуска leon_lev;Потребление лева;A/сырой ключ вместо названия
01_ef_modifier_type;1393;goods_input_leon_lev_c_mult;Потребление leon_lev;Множитель потребления лева;A/сырой ключ вместо названия
01_ef_modifier_type;1394;goods_output_leon_lev_c_mult;Выпуск leon_lev;Множитель производства лева;A/сырой ключ вместо названия
01_ef_modifier_type;1395;goods_output_lira_c_add;Множитель потребления lira;Производство лиры;A/сырой ключ вместо названия
01_ef_modifier_type;1396;goods_input_lira_c_add;Множитель выпуска lira;Потребление лиры;A/сырой ключ вместо названия
01_ef_modifier_type;1397;goods_input_lira_c_mult;Потребление lira;Множитель потребления лиры;A/сырой ключ вместо названия
01_ef_modifier_type;1398;goods_output_lira_c_mult;Выпуск lira;Множитель производства лиры;A/сырой ключ вместо названия
01_ef_modifier_type;1399;goods_output_lira_ducato_c_add;Множитель потребления lira_ducato;Производство дуката;A/сырой ключ вместо названия
01_ef_modifier_type;1400;goods_input_lira_ducato_c_add;Множитель выпуска lira_ducato;Потребление дуката;A/сырой ключ вместо названия
01_ef_modifier_type;1401;goods_input_lira_ducato_c_mult;Потребление lira_ducato;Множитель потребления дуката;A/сырой ключ вместо названия
01_ef_modifier_type;1402;goods_output_lira_ducato_c_mult;Выпуск lira_ducato;Множитель производства дуката;A/сырой ключ вместо названия
01_ef_modifier_type;1403;goods_output_lira_ottoman_lira_c_add;Множитель потребления lira_ottoman_lira;Производство османской лиры;A/сырой ключ вместо названия
01_ef_modifier_type;1404;goods_input_lira_ottoman_lira_c_add;Множитель выпуска lira_ottoman_lira;Потребление османской лиры;A/сырой ключ вместо названия
01_ef_modifier_type;1405;goods_input_lira_ottoman_lira_c_mult;Потребление lira_ottoman_lira;Множитель потребления османской лиры;A/сырой ключ вместо названия
01_ef_modifier_type;1406;goods_output_lira_ottoman_lira_c_mult;Выпуск lira_ottoman_lira;Множитель производства османской лиры;A/сырой ключ вместо названия
01_ef_modifier_type;1407;goods_output_lira_scudo_pontificio_c_add;Множитель потребления lira_scudo_pontificio;Производство папского скудо;A/сырой ключ вместо названия
01_ef_modifier_type;1408;goods_input_lira_scudo_pontificio_c_add;Множитель выпуска lira_scudo_pontificio;Потребление папского скудо;A/сырой ключ вместо названия
01_ef_modifier_type;1409;goods_input_lira_scudo_pontificio_c_mult;Потребление lira_scudo_pontificio;Множитель потребления папского скудо;A/сырой ключ вместо названия
01_ef_modifier_type;1410;goods_output_lira_scudo_pontificio_c_mult;Выпуск lira_scudo_pontificio;Множитель производства папского скудо;A/сырой ключ вместо названия
01_ef_modifier_type;1411;goods_output_lira_scudo_sardo_c_add;Множитель потребления lira_scudo_sardo;Производство сардинского скудо;A/сырой ключ вместо названия
01_ef_modifier_type;1412;goods_input_lira_scudo_sardo_c_add;Множитель выпуска lira_scudo_sardo;Потребление сардинского скудо;A/сырой ключ вместо названия
01_ef_modifier_type;1413;goods_input_lira_scudo_sardo_c_mult;Потребление lira_scudo_sardo;Множитель потребления сардинского скудо;A/сырой ключ вместо названия
01_ef_modifier_type;1414;goods_output_lira_scudo_sardo_c_mult;Выпуск lira_scudo_sardo;Множитель производства сардинского скудо;A/сырой ключ вместо названия
01_ef_modifier_type;1415;goods_output_lira_toscane_lira_c_add;Множитель потребления lira_toscane_lira;Производство тосканской лиры;A/сырой ключ вместо названия
01_ef_modifier_type;1416;goods_input_lira_toscane_lira_c_add;Множитель выпуска lira_toscane_lira;Потребление тосканской лиры;A/сырой ключ вместо названия
01_ef_modifier_type;1417;goods_input_lira_toscane_lira_c_mult;Потребление lira_toscane_lira;Множитель потребления тосканской лиры;A/сырой ключ вместо названия
01_ef_modifier_type;1418;goods_output_lira_toscane_lira_c_mult;Выпуск lira_toscane_lira;Множитель производства тосканской лиры;A/сырой ключ вместо названия
01_ef_modifier_type;1419;goods_output_mark_c_add;Множитель потребления mark;Производство марки;A/сырой ключ вместо названия
01_ef_modifier_type;1420;goods_input_mark_c_add;Множитель выпуска mark;Потребление марки;A/сырой ключ вместо названия
01_ef_modifier_type;1421;goods_input_mark_c_mult;Потребление mark;Множитель потребления марки;A/сырой ключ вместо названия
01_ef_modifier_type;1422;goods_output_mark_c_mult;Выпуск mark;Множитель производства марки;A/сырой ключ вместо названия
01_ef_modifier_type;1423;goods_output_mark_finnish_markka_c_add;Множитель потребления mark_finnish_markka;Производство финской марки;A/сырой ключ вместо названия
01_ef_modifier_type;1424;goods_input_mark_finnish_markka_c_add;Множитель выпуска mark_finnish_markka;Потребление финской марки;A/сырой ключ вместо названия
01_ef_modifier_type;1425;goods_input_mark_finnish_markka_c_mult;Потребление mark_finnish_markka;Множитель потребления финской марки;A/сырой ключ вместо названия
01_ef_modifier_type;1426;goods_output_mark_finnish_markka_c_mult;Выпуск mark_finnish_markka;Множитель производства финской марки;A/сырой ключ вместо названия
01_ef_modifier_type;1427;goods_output_peso_c_add;Множитель потребления peso;Производство песо;A/сырой ключ вместо названия
01_ef_modifier_type;1428;goods_input_peso_c_add;Множитель выпуска peso;Потребление песо;A/сырой ключ вместо названия
01_ef_modifier_type;1429;goods_input_peso_c_mult;Потребление peso;Множитель потребления песо;A/сырой ключ вместо названия
01_ef_modifier_type;1430;goods_output_peso_c_mult;Выпуск peso;Множитель производства песо;A/сырой ключ вместо названия
01_ef_modifier_type;1431;goods_output_peso_argentine_peso_c_add;Множитель потребления peso_argentine_peso;Производство аргентинского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1432;goods_input_peso_argentine_peso_c_add;Множитель выпуска peso_argentine_peso;Потребление аргентинского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1433;goods_input_peso_argentine_peso_c_mult;Потребление peso_argentine_peso;Множитель потребления аргентинского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1434;goods_output_peso_argentine_peso_c_mult;Выпуск peso_argentine_peso;Множитель производства аргентинского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1435;goods_output_peso_bolivien_peso_c_add;Множитель потребления peso_bolivien_peso;Производство боливийского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1436;goods_input_peso_bolivien_peso_c_add;Множитель выпуска peso_bolivien_peso;Потребление боливийского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1437;goods_input_peso_bolivien_peso_c_mult;Потребление peso_bolivien_peso;Множитель потребления боливийского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1438;goods_output_peso_bolivien_peso_c_mult;Выпуск peso_bolivien_peso;Множитель производства боливийского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1439;goods_output_peso_chilean_peso_c_add;Множитель потребления peso_chilean_peso;Производство чилийского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1440;goods_input_peso_chilean_peso_c_add;Множитель выпуска peso_chilean_peso;Потребление чилийского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1441;goods_input_peso_chilean_peso_c_mult;Потребление peso_chilean_peso;Множитель потребления чилийского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1442;goods_output_peso_chilean_peso_c_mult;Выпуск peso_chilean_peso;Множитель производства чилийского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1443;goods_output_peso_colombian_peso_c_add;Множитель потребления peso_colombian_peso;Производство колумбийского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1444;goods_input_peso_colombian_peso_c_add;Множитель выпуска peso_colombian_peso;Потребление колумбийского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1445;goods_input_peso_colombian_peso_c_mult;Потребление peso_colombian_peso;Множитель потребления колумбийского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1446;goods_output_peso_colombian_peso_c_mult;Выпуск peso_colombian_peso;Множитель производства колумбийского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1447;goods_output_peso_costa_rican_colon_c_add;Множитель потребления peso_costa_rican_colon;Производство костариканского колона;A/сырой ключ вместо названия
01_ef_modifier_type;1448;goods_input_peso_costa_rican_colon_c_add;Множитель выпуска peso_costa_rican_colon;Потребление костариканского колона;A/сырой ключ вместо названия
01_ef_modifier_type;1449;goods_input_peso_costa_rican_colon_c_mult;Потребление peso_costa_rican_colon;Множитель потребления костариканского колона;A/сырой ключ вместо названия
01_ef_modifier_type;1450;goods_output_peso_costa_rican_colon_c_mult;Выпуск peso_costa_rican_colon;Множитель производства костариканского колона;A/сырой ключ вместо названия
01_ef_modifier_type;1451;goods_output_peso_cuban_peso_c_add;Множитель потребления peso_cuban_peso;Производство кубинского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1452;goods_input_peso_cuban_peso_c_add;Множитель выпуска peso_cuban_peso;Потребление кубинского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1453;goods_input_peso_cuban_peso_c_mult;Потребление peso_cuban_peso;Множитель потребления кубинского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1454;goods_output_peso_cuban_peso_c_mult;Выпуск peso_cuban_peso;Множитель производства кубинского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1455;goods_output_peso_ecuadorian_peso_c_add;Множитель потребления peso_ecuadorian_peso;Производство эквадорского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1456;goods_input_peso_ecuadorian_peso_c_add;Множитель выпуска peso_ecuadorian_peso;Потребление эквадорского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1457;goods_input_peso_ecuadorian_peso_c_mult;Потребление peso_ecuadorian_peso;Множитель потребления эквадорского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1458;goods_output_peso_ecuadorian_peso_c_mult;Выпуск peso_ecuadorian_peso;Множитель производства эквадорского песо;A/сырой ключ вместо названия
01_ef_modifier_type;1459;goods_output_peso_el_salvador_colon_c_add;Множитель потребления peso_el_salvador_colon;Производство сальвадорского колона;A/сырой ключ вместо названия
01_ef_modifier_type;1460;goods_input_peso_el_salvador_colon_c_add;Множитель выпуска peso_el_salvador_colon;Потребление сальвадорского колона;A/сырой ключ вместо названия
